city_index,city_name,city_country,city_lat,city_lon,population_2025_1000s,gauge_id,gauge_name,gauge_lat,gauge_lon,distance_km,rsl_low,rsl_central,rsl_high,novlm_low,novlm_central,novlm_high,city_short
1088,Tokyo,Japan,35.69,139.69,37036,1545,TOKYO_III,35.65,139.77,8,0.06,0.45,2.07,0.25,0.62,2.25,Tokyo
808,Delhi,India,28.67,77.22,34666,420,BHAUNAGAR_I,21.8,72.3,910,,,,,,,Delhi
449,Shanghai,China,31.22,121.46,30482,979,LUSI,32.13,121.62,102,,,,,,,Shanghai
61,Dhaka,Bangladesh,23.71,90.41,24653,1496,CHARCHANGA,22.22,91.05,178,,,,,,,Dhaka
685,Al-Qahirah (Cairo),Egypt,30.04,31.24,23074,253,PORT_SAID,31.25,32.3,169,,,,,,,Cairo
138,São Paulo,Brazil,-23.55,-46.64,22990,726,CANANEIA,-25.02,-47.93,210,,,,,,,São Paulo
1147,Ciudad de México (Mexico City),Mexico,19.43,-99.14,22752,918,TUXPAN,21.0,-97.33,258,,,,,,,Mexico City
204,Beijing,China,39.91,116.4,22596,1403,TANGGU,39.0,117.72,152,,,,,,,Beijing
882,Mumbai (Bombay),India,19.07,72.88,22089,43,MUMBAI,18.92,72.83,18,0.14,0.46,1.94,0.2,0.51,1.99,Mumbai
1758,New York-Newark,United States of America,40.72,-74.0,19154,12,NEW_YORK,40.7,-74.01,2,0.4,0.81,2.21,0.26,0.67,2.07,New York
1067,Kinki M.M.A. (Osaka),Japan,34.68,135.55,18922,1099,OSAKA,34.66,135.43,11,0.54,0.9,2.49,0.27,0.62,2.21,Osaka
231,Chongqing,China,29.56,106.55,18171,1408,BEIHAI,21.48,109.08,935,,,,,,,Chongqing
1293,Karachi,Pakistan,24.91,67.08,18077,204,KARACHI,24.81,66.97,16,0.15,0.48,1.92,0.12,0.44,1.88,Karachi
662,Kinshasa,Democratic Republic of the Congo,-4.33,15.31,17778,1049,TEMA,5.62,0.0,2031,,,,,,,Kinshasa
1260,Lagos,Nigeria,6.45,3.4,17156,1049,TEMA,5.62,0.0,387,,,,,,,Lagos
1600,Istanbul,Turkey,41.01,28.95,16237,317,BOURGAS,42.48,27.48,204,,,,,,,Istanbul
863,Kolkata (Calcutta),India,22.53,88.36,15845,48,KIDDERPORE,22.53,88.33,3,-0.33,0.04,1.47,0.17,0.5,1.93,Kolkata
24,Buenos Aires,Argentina,-34.61,-58.4,15752,157,BUENOS_AIRES,-34.6,-58.37,3,0.21,0.52,1.85,0.21,0.52,1.85,Buenos Aires
1348,Manila,Philippines,14.6,120.98,15231,145,MANILA,14.58,120.97,3,0.72,1.12,2.66,0.2,0.6,2.14,Manila
283,"Guangzhou, Guangdong",China,23.13,113.26,14879,1366,TSIM_BEI_TSUI,22.49,114.01,105,,,,,,,Guangzhou
1295,Lahore,Pakistan,31.55,74.34,14826,596,KANDLA,23.02,70.22,1033,,,,,,,Lahore
489,Tianjin,China,39.11,117.19,14704,1403,TANGGU,39.0,117.72,48,0.02,0.5,2.01,0.15,0.5,1.99,Tianjin
780,Bangalore,India,12.97,77.59,14395,205,CHENNAI,13.1,80.3,294,,,,,,,Bangalore
134,Rio de Janeiro,Brazil,-22.9,-43.21,13923,1032,ILHA_FISCAL,-22.9,-43.17,4,0.22,0.57,2.03,0.25,0.58,2.03,Rio de Janeiro
461,Shenzhen,China,22.54,114.06,13545,1366,TSIM_BEI_TSUI,22.49,114.01,8,0.08,0.48,1.97,0.24,0.59,2.07,Shenzhen
1427,Moskva (Moscow),Russian Federation,55.75,37.62,12737,237,PRIMORSK,60.35,28.62,736,,,,,,,Moscow
1742,Los Angeles-Long Beach-Santa Ana,United States of America,34.03,-118.24,12678,377,SANTA_MONICA,34.01,-118.5,24,0.18,0.47,1.97,0.21,0.5,1.99,Los Angeles
801,Chennai (Madras),India,13.05,80.25,12336,205,CHENNAI,13.1,80.3,8,0.11,0.45,1.97,0.21,0.54,2.06,Madras
622,Bogotá,Colombia,4.61,-74.08,11796,456,BUENAVENTURA,3.9,-77.1,344,,,,,,,Bogotá
955,Jakarta,Indonesia,-6.21,106.84,11634,1351,RAFFLES_LIGHT_HOUSE,1.17,103.75,891,,,,,,,Jakarta
1320,Lima,Peru,-12.04,-77.03,11517,1274,CALLAO_2,-12.05,-77.15,13,0.13,0.47,1.92,0.24,0.57,2.02,Lima
1562,Krung Thep (Bangkok),Thailand,13.72,100.53,11392,444,FORT_PHRACHULA_CHOMKLAO,13.55,100.58,20,1.33,1.68,3.15,0.23,0.57,2.04,Bangkok
715,Paris,France,48.85,2.35,11347,474,DIEPPE,49.93,1.08,151,,,,,,,Paris
835,Hyderabad,India,17.38,78.47,11338,414,VISAKHAPATNAM,17.68,83.28,511,,,,,,,Hyderabad
405,"Nanjing, Jiangsu",China,32.05,118.79,10175,979,LUSI,32.13,121.62,267,,,,,,,Nanjing
19,Luanda,Angola,-8.84,13.23,10028,914,WALVIS_BAY,-22.95,14.5,1577,,,,,,,Luanda
1390,Seoul,Republic of Korea,37.57,126.98,10026,956,INCHEON,37.45,126.59,37,0.14,0.51,2.05,0.24,0.58,2.12,Seoul
