city_index,city_name,city_country,city_lat,city_lon,population_2025_1000s,coast_distance_km,city_short,city_region,location,gauge_id,gauge_name,gauge_distance_km,lat,lon,low-end,low,central,high,high-end
24,Buenos Aires,Argentina,-34.61,-58.4,15752,3,Buenos Aires,South America,157,157,BUENOS_AIRES,3,-34.6,-58.37,0.21,0.3,0.52,0.9,1.85
59,Chittagong,Bangladesh,22.33,91.84,5653,6,Chittagong,South Asia,1496,1496,CHARCHANGA,82,22.22,91.05,0.21,0.37,0.66,1.12,2.13
134,Rio de Janeiro,Brazil,-22.9,-43.21,13923,1,Rio de Janeiro,South America,1032,1032,ILHA_FISCAL,4,-22.9,-43.17,0.22,0.32,0.57,0.97,2.03
236,Dalian,China,38.91,121.6,6347,2,Dalian,East Asia,1513,1513,LAOHUTAN,8,38.87,121.68,0.19,0.29,0.55,1.01,2.06
251,Dongguan,China,23.02,113.74,7773,13,Dongguan,East Asia,1366,1366,TSIM_BEI_TSUI,65,22.49,114.01,0.08,0.2,0.48,0.9,1.97
489,Tianjin,China,39.11,117.19,14704,46,Tianjin,East Asia,1403,1403,TANGGU,48,39.0,117.72,0.02,0.18,0.5,1.0,2.01
610,Hong Kong,"China, Hong Kong SAR",22.28,114.19,7769,1,Hong Kong,East Asia,1674,1674,QUARRY_BAY,2,22.29,114.21,0.13,0.26,0.56,0.99,2.06
681,Al-Iskandariyah (Alexandria),Egypt,31.19,29.9,5807,2,Alexandria,Africa,503,503,ALEXANDRIA,3,31.22,29.92,0.24,0.36,0.62,1.06,1.98
801,Chennai (Madras),India,13.05,80.25,12336,3,Chennai,South Asia,205,205,CHENNAI,8,13.1,80.3,0.11,0.21,0.45,0.9,1.97
863,Kolkata (Calcutta),India,22.53,88.36,15845,42,Kolkata,South Asia,48,48,KIDDERPORE,3,22.53,88.33,-0.33,-0.21,0.04,0.46,1.47
882,Mumbai (Bombay),India,19.07,72.88,22089,3,Mumbai,South Asia,43,43,MUMBAI,18,18.92,72.83,0.14,0.23,0.46,0.9,1.94
924,Surat,India,21.17,72.83,8582,5,Surat,South Asia,420,420,BHAUNAGAR_I,90,21.8,72.3,0.27,0.41,0.71,1.19,2.19
1061,Chukyo M.M.A. (Nagoya),Japan,35.18,136.91,9535,10,Nagoya,East Asia,1488,1488,NAGOYA_II,10,35.09,136.88,-0.09,0.02,0.28,0.75,1.87
1067,Kinki M.M.A. (Osaka),Japan,34.68,135.55,18922,9,Osaka,East Asia,1099,1099,OSAKA,11,34.66,135.43,0.54,0.65,0.9,1.37,2.49
1068,Kitakyushu-Fukuoka M.M.A.,Japan,33.61,130.42,5466,1,Fukuoka,East Asia,1094,1094,HAKATA,2,33.62,130.41,0.23,0.33,0.59,1.04,2.15
1088,Tokyo,Japan,35.69,139.69,37036,8,Tokyo,East Asia,1545,1545,TOKYO_III,8,35.65,139.77,0.06,0.17,0.45,0.93,2.07
1217,Yangon,Myanmar,16.81,96.16,5813,3,Yangon,Southeast Asia,210,210,RANGOON,4,16.77,96.17,0.33,0.46,0.71,1.14,2.18
1293,Karachi,Pakistan,24.91,67.08,18077,11,Karachi,South Asia,204,204,KARACHI,16,24.81,66.97,0.15,0.24,0.48,0.92,1.92
1320,Lima,Peru,-12.04,-77.03,11517,8,Lima,South America,1274,1274,CALLAO_2,13,-12.05,-77.15,0.13,0.23,0.47,0.87,1.92
1348,Manila,Philippines,14.6,120.98,15231,2,Manila,Southeast Asia,145,145,MANILA,3,14.58,120.97,0.72,0.84,1.12,1.53,2.66
1390,Seoul,Republic of Korea,37.57,126.98,10026,7,Seoul,East Asia,956,956,INCHEON,37,37.45,126.59,0.14,0.25,0.51,0.97,2.05
1490,Singapore,Singapore,1.29,103.85,6157,1,Singapore,Southeast Asia,1746,1746,TANJONG_PAGAR,2,1.27,103.85,0.12,0.26,0.54,0.98,2.09
1514,Barcelona,Spain,41.39,2.16,5733,3,Barcelona,Europe,1811,1811,BARCELONA,6,41.34,2.17,0.27,0.38,0.65,1.05,1.95
1562,Krung Thep (Bangkok),Thailand,13.72,100.53,11392,15,Bangkok,Southeast Asia,444,444,FORT_PHRACHULA_CHOMKLAO,20,13.55,100.58,1.33,1.43,1.68,2.08,3.15
1649,London,United Kingdom,51.51,-0.13,9841,27,London,Europe,336,336,TOWER_PIER,14,51.5,0.08,0.14,0.29,0.58,1.0,1.83
1665,Dar es Salaam,United Republic of Tanzania,-6.82,39.27,8562,2,Dar es Salaam,Africa,1600,1600,ZANZIBAR,76,-6.15,39.18,0.21,0.32,0.58,1.0,2.06
1724,Houston,United States of America,29.76,-95.37,6890,36,Houston,North America,161,161,GALVESTON_II,75,29.31,-94.79,0.74,0.83,1.07,1.5,2.54
1742,Los Angeles-Long Beach-Santa Ana,United States of America,34.03,-118.24,12678,20,Los Angeles,North America,377,377,SANTA_MONICA,24,34.01,-118.5,0.18,0.27,0.47,0.86,1.97
1747,Miami,United States of America,25.79,-80.2,6372,2,Miami,North America,363,363,MIAMI_BEACH,8,25.77,-80.13,0.37,0.47,0.71,1.12,2.19
1758,New York-Newark,United States of America,40.72,-74.0,19154,0,New York,North America,12,12,NEW_YORK,2,40.7,-74.01,0.4,0.52,0.81,1.25,2.21
1766,Philadelphia,United States of America,39.95,-75.16,5861,27,Philadelphia,North America,135,135,PHILADELPHIA,3,39.93,-75.14,0.41,0.52,0.81,1.23,2.2
1810,"Washington, D.C.",United States of America,38.9,-77.04,5600,31,"Washington, D.C.",North America,360,360,WASHINGTON_DC,3,38.87,-77.02,0.44,0.55,0.82,1.25,2.21
1845,Thành Pho Ho Chí Minh (Ho Chi Minh City),Viet Nam,10.75,106.67,9816,21,Ho Chi Minh City,Southeast Asia,1495,1495,VUNGTAU,64,10.33,107.07,0.17,0.31,0.6,1.03,2.12
